Location    ,            No of companies
Maharashtra  ,2294
Delhi         ,1262
Uttar Pradesh  ,1260
Karnataka       ,1030
Tamil Nadu       ,868
Telangana         ,867
Haryana            ,644
Gujarat             ,643
West Bengal          ,622
Rajasthan             ,444
Kerala                 ,434
Bihar                   ,409
Madhya Pradesh           ,329
Orissa              ,297
Andhra Pradesh       ,251
Punjab                ,196
Jharkhand             ,135
Assam                  ,100
Uttarakhand          ,98
Chattisgarh          ,96
Jammu & Kashmir      ,68
Himachal Pradesh     ,59
Chandigarh           ,50
Goa                 ,33
Manipur             ,22
Tripura             ,8
Arunachal Pradesh   ,7
Pondicherry         ,5
Mizoram             ,4
Andaman & Nicobar   ,360
Daman and Diu        ,3
Meghalaya             ,3
Dadra & Nagar Haveli   ,3
Ladakh                ,1
,379.5
