company_name,date_of_registration,month_name,state,roc,category,class,company_type,activity_code,activity_description,authorized_capital,paidup_capital,
ANTON LOGISTICS PRIVATE LIMITED  ,19-04-2021,Apr-21,Tamil Nadu,RoC-Chennai,Company limited by Shares,Private,Non-govt company,63030,"Transport, storage and Communications",1500000,102000,
TOURNAFEST GAMING PRIVATE LIMITED  ,29-04-2021,Apr-21,Rajasthan,RoC-Jaipur,Company limited by Shares,Private,Non-govt company,72900,Business Services,100000,3000,
LINGOWORLD TRANSLATION AND INTERPRETATION SERVICES PRIVATE LIMITED ,19-04-2021,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,72900,Business Services,500000,500000,
SCT AGARBATTI PRODUCER COMPANY LIMITED  ,19-04-2021,Apr-21,Bihar,RoC-Patna,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities,1000000,10000,
PUDUKUDI PRIVATE LIMITED  ,19-04-2021,Apr-21,Tamil Nadu,RoC-Chennai,Company limited by Shares,Private,Non-govt company,52609,Trading,500000,500000,
UNITEDBEES AGTECH PRIVATE LIMITED  ,29-04-2021,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,1110,Agriculture and Allied Activities,100000,100000,
RSGV MANDK PRIVATE LIMITED  ,19-04-2021,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,51909,Trading,100000,100000,
MEDWORKS INDIA PRIVATE LIMITED  ,19-04-2021,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,51909,Trading,500000,100000,
OSA TECHNOLOGY PRIVATE LIMITED  ,23-04-2021,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,52590,Trading,500000,100000,
WAVETECH BUSINESS SOLUTION PRIVATE LIMITED ,19-04-2021,Apr-21,Madhya Pradesh,RoC-Gwalior,Company limited by Shares,Private,Non-govt company,72900,Business Services,500000,100000,
STENCARE MOLECULES PRIVATE LIMITED  ,19-04-2021,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,24299,"Manufacturing (Metals & Chemicals, and products thereof)",100000,100000,
NAIKIN INFORMATION TECHNOLOGY PRIVATE LIMITED ,19-04-2021,Apr-21,Madhya Pradesh,RoC-Gwalior,Company limited by Shares,Private,Non-govt company,72900,Business Services,1000000,700000,
ANANT BHOOMI SHOP OWNERS ASSOCIATION  ,19-04-2021,Apr-21,Gujarat,RoC-Ahmedabad,Company limited by Shares,Private,Non-govt company,85300,"Community, personal & Social Services",1500000,100000,
AB14 FASHION PRIVATE LIMITED,19-04-2021,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,18109,Manufacturing (Textiles),500000,100000,
SCOUTING BRILLIANCE PRIVATE LIMITED  ,19-04-2021,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,72900,Business Services,2500000,2500000,
BOB MARLEY FOOTBALL CLUB PRIVATE LIMITED  ,26-04-2021,Apr-21,Madhya Pradesh,RoC-Gwalior,Company limited by Shares,Private,Non-govt company,92419,"Community, personal & Social Services",10000000,10000000,
FARM CLAN DEVELOPER PRIVATE LIMITED  ,29-04-2021,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,45202,Construction,1000000,100000,
MAGIS VALOR PRIVATE LIMITED  ,19-04-2021,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,72900,Business Services,100000,100000,
